,author_name,book_average_rating,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
0,J.K. Rowling,4.56,Harry Potter and the Half-Blood Prince,Fantasy,Young Adult,2036961,32557,652,2005,1217
1,J.K. Rowling,4.48,Harry Potter and the Order of the Phoenix,Fantasy,Young Adult,2087093,34321,870,2003,690
2,J.K. Rowling,4.55,Harry Potter and the Prisoner of Azkaban,Fantasy,Young Adult,2276977,44377,435,1999,368
4,Douglas Adams,4.38,The Ultimate Hitchhiker's Guide to the Galaxy,Science Fiction,Fiction,255070,4753,815,1996,2374
5,Bill Bryson,4.2,A Short History of Nearly Everything,Nonfiction,Science,240843,10362,544,2003,1079
7,Bill Bryson,3.92,Notes from a Small Island,Travel,Nonfiction,81963,3745,324,1995,2409
9,Bill Bryson,3.94,The Mother Tongue: English and How It Got That Way,Nonfiction,Humanities,30019,2291,270,1990,4127
10,Gary Paulsen,3.7,Hatchet,Young Adult,Fiction,263455,12388,208,1986,3529
14,Delia Sherman,3.6,Changeling,Fantasy,Young Adult,1010,123,256,2006,3427
15,Edward P. Jones,3.83,The Known World,Historical,Fiction,31958,3002,432,2003,391
16,John McPhee,4.22,Coming Into the Country,Nonfiction,Travel,5620,267,448,1977,1438
21,Bryce Courtenay,4.34,The Power of One,Fiction,Historical,69769,4902,544,1989,1611
23,Mulk Raj Anand,3.7,Untouchable,Fiction,Cultural,3409,282,160,1935,721
25,Daniel Abraham,3.6,A Shadow in Summer,Fantasy,Fiction,10438,684,331,2006,2848
26,Charles Willeford,3.94,Miami Blues,Mystery,Mystery,3107,211,191,1984,2906
27,Henry Miller,3.7,Tropic of Cancer,Fiction,Classics,55088,2838,318,1934,6353
30,Marguerite Duras,3.75,The Lover,Fiction,Cultural,29548,2069,117,1984,5818
34,Gabriel García Márquez,4.06,One Hundred Years of Solitude,Fiction,Classics,642858,25037,417,1967,2577
36,Patrick Süskind,4.02,Perfume: The Story of a Murderer,Fiction,Historical,264734,11826,263,1985,4823
40,Robert A. Heinlein,3.91,Stranger in a Strange Land,Science Fiction,Fiction,249291,7108,528,1961,1731
42,Norton Juster,4.21,The Phantom Tollbooth,Fantasy,Fiction,211284,8971,256,1961,2323
46,Harry G. Frankfurt,3.56,On Bullshit,Philosophy,Nonfiction,9188,980,67,1986,6170
48,Nick Flynn,3.78,Another Bullshit Night in Suck City,Autobiography,Nonfiction,9531,945,347,2004,6169
49,Thomas Pynchon,4.03,Gravity's Rainbow,Fiction,Classics,31306,2768,776,1973,1762
52,Paul Auster,3.91,The New York Trilogy,Fiction,Mystery,49831,2840,308,1987,938
54,Paul Auster,3.68,Timbuktu,Fiction,Animals,10825,850,181,1999,893
55,Jared Diamond,3.93,Collapse: How Societies Choose to Fail or Succeed,Nonfiction,History,51622,2930,608,2004,1055
56,Joy Harjo,4.39,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Poetry,Fiction,276,22,576,1997,574
57,Chuck Klosterman,3.84,Killing Yourself to Live: 85% of a True Story,Nonfiction,Music,25130,1160,245,2005,2337
58,Chuck Klosterman,3.75,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Nonfiction,Writing,60376,3443,272,2003,411
60,Robert M. Pirsig,3.77,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Philosophy,Fiction,172148,7482,540,1974,1150
66,Ayn Rand,3.68,Atlas Shrugged,Fiction,Classics,324480,15866,1168,1957,711
69,Bernard Malamud,3.63,The Natural,Fiction,Sports and Games,9156,712,231,1952,6685
70,Philip Roth,3.74,The Plot Against America,Fiction,Historical,34876,3124,391,2004,952
74,Gabriel García Márquez,3.59,Memories of My Melancholy Whores,Fiction,Classics,58275,3517,115,2004,1576
76,Steve Hagen,4.1,Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs,Religion,Nonfiction,918,73,272,2003,460
77,H.G. Bissinger,3.87,"Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager",Sports and Games,Sports,6871,286,287,2005,608
78,Neal Stephenson,3.92,Quicksilver,Fiction,Historical,33146,1932,927,2003,430
80,Neal Stephenson,4.19,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Science Fiction,Fiction,73670,3109,499,1995,3206
82,Donald A. Norman,4.19,The Design of Everyday Things,Design,Nonfiction,20008,1537,240,1988,6508
83,Paulo Coelho,3.85,The Alchemist,Fiction,Classics,1691641,65693,197,1988,2696
87,Hiromu Arakawa,4.49,"Fullmetal Alchemist, Vol. 1",Sequential Art,Sequential Art,103393,1367,192,2002,1668
90,Robert   Harris,3.81,Pompeii,Historical,Fiction,30684,2097,304,2003,1377
93,John Steinbeck,3.86,Of Mice and Men,Classics,Fiction,1690090,28775,112,1937,1933
95,Neil Strauss,3.74,The Game: Penetrating the Secret Society of Pickup Artists,Nonfiction,Psychology,21857,1688,464,2005,2760
96,Ellen Raskin,4.03,The Westing Game,Mystery,Young Adult,140433,9137,182,1978,8672
101,Barry Eisler,3.95,A Clean Kill in Tokyo,Thriller,Fiction,11945,753,363,2002,1911
102,Arthur Golden,4.1,Memoirs of a Geisha,Fiction,Historical,1544947,27468,434,1997,542
108,Dan Brown,3.88,Angels & Demons,Fiction,Mystery,2334743,26835,736,2000,2000
110,Dan Brown,3.82,The Da Vinci Code,Fiction,Mystery,1691827,44030,481,2003,1253
111,Dan Brown,3.69,Deception Point,Fiction,Thriller,534465,8528,556,2001,159
112,George S. Clason,4.25,The Richest Man in Babylon,Business,Economics,74920,3696,194,1926,3774
114,Trevanian,4.22,Shibumi,Fiction,Thriller,11535,769,480,1979,1905
116,David McCullough,4.06,1776,History,Nonfiction,162178,6560,386,2005,540
117,Pearl S. Buck,3.98,The Good Earth,Classics,Fiction,207030,9039,418,1931,3178
122,Eric Schlosser,3.74,Fast Food Nation: The Dark Side of the All-American Meal,Nonfiction,Food and Drink,190904,5260,399,2001,231
124,Giada De Laurentiis,3.96,Giada's Family Dinners,Food and Drink,Food and Drink,13846,73,256,2006,1577
