,author_name,book_average_rating,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
3,Carolyn Keene ,4.24,       Nancy Drew: #1-6 [Box Set] ,Mystery,Young Adult,2883,108,0,1930,2937
4,C.S. Lewis ,4.12,       Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength ,Science Fiction,Fiction,8258,358,0,1938,1706
5,Paul Zindel ,3.59,       The Pigman ,Fiction,Young Adult,24602,1328,0,1968,3447
6,Paul Scott ,4.48,       Raj Quartet-4v-Boxed Jewell in Crown ,Fiction,Cultural,861,67,0,1976,3981
7,Catherine Christian ,3.96,       The Pendragon ,Mythology,Fantasy,373,24,0,1979,14141
8,Sandra Cisneros ,3.61,       House on Mango Street ,Fiction,Young Adult,102647,8652,0,1984,539
9,Ann M. Martin ,3.85,       Baby-Sitters Club Boxed Set #1 ,Childrens,Young Adult,5296,101,0,1986,760
10,Ann M. Martin ,3.85,       Baby-Sitters Club Boxed Set #1 ,Childrens,Young Adult,5296,101,0,1986,1654
11,Jean M. Auel ,4.27,"       The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage ",Historical,Fiction,4911,259,0,1986,562
12,Jean M. Auel ,4.27,"       The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage ",Historical,Fiction,4911,259,0,1986,679
13,Benjamin Hoff ,4.16,       Tao of Pooh and Te of Piglet Boxed Set ,Spirituality,Philosophy,10246,477,0,1992,3587
14,Mike Dooley ,4.24,       Infinite Possibilities: The Art of Living Your Dreams ,Self Help,Nonfiction,1139,94,0,2001,8518
15,Jim Davis ,4.5,       Garfield Halloween ,Holiday,Sequential Art,36,1,0,2004,8355
16,K.A. Jordan ,3.78,       Swallow the Moon ,Fantasy,Fiction,63,15,0,2005,3151
17,Franklin W. Dixon ,4.15,       Hardy Boys Complete Series Set Books 1-66 ,Mystery,Fiction,4346,175,0,2006,2830
18,Franklin W. Dixon ,4.15,       Hardy Boys Complete Series Set Books 1-66 ,Mystery,Fiction,4346,175,0,2006,3029
19,Angie Sage ,4.26,       Septimus Heap Box Set: Magyk and Flyte ,Fantasy,Young Adult,2374,27,0,2007,2694
20,Tielle St. Clare ,3.83,       Dragon's Prey ,Fantasy,Fantasy,398,11,0,2007,19465
21,Nick Harkaway ,4.12,       The Gone-Away World ,Science Fiction,Fiction,10488,1577,0,2008,1260
22,M. Chandler ,3.85,       Shadow of the Templar: The Morning Star ,Romance,Mystery,1807,225,0,2009,2124
23,Desiree Holt ,3.74,       Trouble in Cowboy Boots ,Adult Fiction,Erotica,149,16,0,2010,1715
24,Lauren Burd ,3.7,       Immortal ,Fantasy,Paranormal,4841,278,0,2010,1500
25,Tracey H. Kitts ,3.81,       Sex Symbol ,Fantasy,Romance,91,8,0,2010,137
26,Marla Monroe ,4.13,       Hot and Bothered ,Romance,Adult Fiction,61,1,0,2010,400
27,Jennifer Richard Jacobson ,3.96,       Small as an Elephant ,Realistic Fiction,Childrens,6334,930,0,2011,3312
28,Patricia  Williams ,3.97,       Wasteland ,Fantasy,Young Adult,36,17,0,2011,1000
29,Jamie Brazil ,4.38,"       Prince Charming, Inc. ",Romance,Humor,29,9,0,2011,1165
30,Beverly S. Harless ,4.8,       One Night of Regrets: A Story of Restoration and Grace ,Fiction,Christian,15,7,0,2011,10509
31,S.B. Lerner ,3.79,       In the Middle of Almost and Other Stories ,Short Stories,See top shelves…,29,14,0,2011,10835
32,M.L. Forman ,4.36,       Albrek's Tomb ,Fantasy,Young Adult,7154,226,0,2012,2399
33,Angela Kulig ,3.79,       Pigments of My Imagination ,Romance,Young Adult,61,34,0,2013,2475
34,Patricia MacLachlan ,3.91,       Skylark ,Historical,Childrens,5023,282,2,1994,273
35,Molly Ivins ,4.19,       You Got to Dance with Them What Brung You: Politics in the Clinton Years ,Politics,Nonfiction,445,27,2,1998,538
36,Betty MacDonald ,4.16,       Mrs. Piggle-Wiggle ,Childrens,Fiction,49242,1234,3,1947,10223
37,Jennifer L. Holm ,3.87,       The Fourteenth Goldfish ,Childrens,Science Fiction,16158,2402,3,2014,2085
38,Beverly Cleary ,4.22,"       The Ramona Collection, Vol. 1: ",Childrens,Fiction,5759,75,4,2013,2209
39,Ellen Oh ,4.11,       Flying Lessons & Other Stories ,Short Stories,Childrens,2629,576,4,2017,2298
40,M.T. Anderson ,3.54,       Feed ,Young Adult,Science Fiction,49969,6133,5,2002,3455
41,Joseph Delaney ,3.98,       Revenge of the Witch ,Fantasy,Young Adult,37824,2957,5,2004,722
42,Charming Man ,4.59,       Night Vision ,Adult Fiction,See top shelves…,49,14,5,2012,2806
43,Lisa Lutz ,3.88,       The Spellman Files ,Mystery,Fiction,29576,3481,6,2007,1212
44,Lisa Lutz ,3.88,       The Spellman Files ,Mystery,Fiction,29579,3481,6,2007,2403
45,J.L. Beck ,4.63,       Getting Lucky ,Short Stories,Romance,100,72,6,2016,2157
46,Dawn White ,3.93,       Sirens Surrender ,Fiction,See top shelves…,14,7,8,2013,1389
47,Lois McMaster Bujold ,4.12,       Shards of Honor ,Science Fiction,Fiction,25037,1530,9,1986,1694
